id,title,description,price,availability,condition,link,image_link,additional_image_link,brand,product_type
55454088997,Therafeed Urinary Health 2kg Grain Free Dry Food Makanan Kucing Premium,"THERAFEED URINARY HEALTH Apa itu Therafeed Urinary Health? Therafeed Urinary Health adalah makanan kering (dry food) khusus untuk kucing yang diformulasikan untuk mendukung kesehatan saluran kemih (urinary tract) dan membantu mencegah penumpukan kristal atau batu di kandung kemih. Produk ini berasal dari seri Therafeed yang dibuat dengan pendekatan nutrisi lebih sehat dibanding pakan biasa. Keunggulan: 1. Formula Urinary Care – Dirancang khusus untuk menjaga agar saluran kemih kucing tetap sehat dan bebas dari masalah seperti kencing batu atau kristal urin. 2. Grain-Free (bebas biji-bijian) – Tidak menggunakan gandum atau jagung, sehingga lebih mudah dicerna dan mengurangi risiko alergi pencernaan. 3. Kandungan Cranberry – Ekstrak cranberry ditambahkan karena dikenal membantu membersihkan saluran kemih dan mengurangi residu yang bisa menjadi batu ginjal. 4. Tinggi Protein & Rendah Karbohidrat – Menyediakan nutrisi yang seimbang sesuai kebutuhan kucing, dengan protein tinggi untuk energi dan karbohidrat rendah agar tidak menyebabkan penumpukan lemak berlebih. 5. Ukuran Butiran Sesuai – Bentuk kibble yang disesuaikan untuk memudahkan dikunyah dan dicerna oleh kucing dari segala usia. 6. Formula hairball control: kandungan serat membantu mengurangi pembentukan bola bulu (hairball) dan membantu keluarnya hairball. 7. Juga ditambahkan Fructooligosakarida (FOS) untuk mendukung kesehatan usus / pencernaan Guaranteed Analysis CRUDE PROTEIN Min. 35% CRUDE FAT Min. 18% CRUDE FIBER Max. 3% CRUDE ASH Max. 9% CALCIUM Min. 0,8% PHOSPHORUS Min. 0,6% MOISTURE Max. 10% TAURINE 2.000 mg/kg ZINC 120 mg/kg Ingredients: Chicken meal, Sweet potato powder, Tapioca, Lentil, Chicken oil, Tuna meal, Beet pulp, Brewer's yeast, Flaxseed, Salt, Taurine, Rosemary oil, Cranberry, Blueberry, Beet, Broccoli, Parsley, Banana, Apple, Orange, Mango, Strawberry, DL-methionine, Chelated minerals (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), Cobalt (Co)), Potassium chloride, Vitamin supplements (Vitamin A, Vitamin D, Vitamin E, Vitamin K, Thiamin (B1), Riboflavin (B2), Pyridoxine (B6), Pantothenic acid, Biotin, Folic acid, Niacin, Cyanocobalamin (B12), Ascorbic acid (C), Choline chloride, Mineral supplements (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1), Cobalt (Co))",277000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/55454088997,https://cf.shopee.co.id/file/id-11134207-82251-mj2fh3acj47621,"https://cf.shopee.co.id/file/id-11134207-82251-mj2fh3aclxc219,https://cf.shopee.co.id/file/id-11134207-8224y-mj2fh3ackirm50,https://cf.shopee.co.id/file/id-11134207-8224r-mj2fh3aljldz57",Therafeed,Pets > Pet Food > Cat Food
53304298823,Vitagold Maxi Growth Wet Food 185gr Makanan Basah Kucing,"VITAGOLD MAXI GROWTH 185gr VITAGOLD MAXI GROWTH Wet Food untuk Kucing adalah makanan basah bernutrisi tinggi yang diformulasikan khusus untuk mendukung pertumbuhan maksimal dan kesehatan optimal kucing, terutama pada masa pertumbuhan. Teksturnya lembut dengan cita rasa lezat sehingga mudah dikonsumsi dan disukai kucing. Makanan basah ini mengandung protein berkualitas tinggi, vitamin, dan mineral penting yang membantu pembentukan otot, memperkuat daya tahan tubuh, serta menunjang perkembangan tulang dan gigi. Kandungan nutrisinya juga membantu menjaga kesehatan pencernaan dan meningkatkan nafsu makan. Keunggulan VITAGOLD MAXI GROWTH Wet Food: 1. Mendukung pertumbuhan maksimal kucing 2. Tinggi protein untuk pembentukan otot 3. Mengandung vitamin & mineral penting 4. Tekstur lembut, mudah dicerna 5. Rasa lezat, meningkatkan nafsu makan 6. Cocok untuk anak kucing hingga kucing dewasa 7. Tidak mengandung babi 8. Grain Free (Bebas biji-bijian) Kandungan Gizi: Energy 94 kkal/can Protein 15% Fiber 1,0% Fat 2,0% Moisture 84% Komposisi: Daging Ayam, Daging Ikan, sari rumput laut, minyak kedelai, taurin, vitamin, dan mineral premix, Omega-3, L-Carnitine",38000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/53304298823,https://cf.shopee.co.id/file/id-11134207-8224t-mj70vc18i29zff,"https://cf.shopee.co.id/file/id-11134207-8224w-mj70vc18gnpje8,https://cf.shopee.co.id/file/id-11134207-8224y-mj70vc18nojr09,https://cf.shopee.co.id/file/id-11134207-8224w-mj70vc18kvevaa,https://cf.shopee.co.id/file/id-11134207-8224u-mj70vc18m9zbb9",Vitagold,Pets > Pet Food > Cat Food
53204278378,Vitagold Mother & Baby Cat Wet Food 185gr Makanan Basah Kucing,"VITAGOLD MOHTER & BABY CAT 185gr VITAGOLD MOTHER & BABY CAT Wet Food untuk Kucing adalah makanan basah bernutrisi lengkap yang diformulasikan khusus untuk memenuhi kebutuhan induk kucing (hamil & menyusui) serta anak kucing (kitten) pada masa pertumbuhan awal. Teksturnya lembut dan mudah dikonsumsi, sehingga aman dan nyaman untuk pencernaan yang masih sensitif. Produk ini mengandung protein berkualitas tinggi, vitamin, mineral, serta nutrisi penting yang membantu mendukung pertumbuhan optimal kitten, perkembangan otak dan tulang, serta menjaga kesehatan dan stamina induk kucing selama masa kehamilan dan menyusui. Kandungan nutrisinya juga membantu meningkatkan nafsu makan dan daya tahan tubuh. Keunggulan VITAGOLD MOTHER & BABYCAT Wet Food: 1. Diformulasikan khusus untuk induk & anak kucing 2. Mendukung pertumbuhan dan perkembangan kitten 3. Membantu menjaga stamina induk hamil & menyusui 4. Tekstur lembut, mudah dicerna 5. Kaya protein, vitamin & mineral 6. Rasa lezat, disukai kucing 7. Tidak mengandung babi 8. Grain Free (Bebas biji-bijian) Kandungan Gizi: Energy 78 kkal/can Protein 10,5% Fiber 0,9% Fat 5,5% Moisture 79% Komposisi: Daging Ayam, Daging Ikan, sari rumput laut, minyak kedelai, taurin, vitamin, dan mineral premix, Omega-3, L-Carnitine, Glukosamine",38000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/53204278378,https://cf.shopee.co.id/file/id-11134207-8224r-mj6hs747kjr437,"https://cf.shopee.co.id/file/id-11134207-8224s-mj6hs747lybk60,https://cf.shopee.co.id/file/id-11134207-8224o-mj70vc0tvbb6a6,https://cf.shopee.co.id/file/id-11134207-82251-mj70vc18f9536a,https://cf.shopee.co.id/file/id-11134207-8224w-mj6hs747ncw0e3",Vitagold,Pets > Pet Food > Cat Food
50014163687,Luve Kandang Besi Lipat 76x48x63 cm Roda - Kandang Kucing Anjing,"Kandang Kucing Luve Premium Lipat dengan Roda 76x48x63 cm Rumah nyaman dan aman untuk kucing kesayangan Anda! Kandang Kucing Luve Premium dirancang dengan material berkualitas tinggi yang kokoh, kuat, dan tahan lama. Dilengkapi roda sehingga mudah dipindahkan, pintu depan dan pintu atas untuk akses yang lebih praktis, serta dapat dilipat sehingga hemat tempat saat tidak digunakan. Sangat cocok digunakan sebagai kandang harian, ruang istirahat, proses adaptasi kucing baru, masa pemulihan setelah operasi, atau perjalanan. Keunggulan Produk: 1. Material besi berkualitas premium yang kuat dan tahan lama 2. Finishing coating anti karat dengan warna elegan 3. Pengunci pintu kokoh sehingga lebih aman dan tidak mudah terbuka 4. Dilengkapi 4 roda untuk memudahkan pemindahan kandang 5. Memiliki pintu depan dan pintu atas sehingga memudahkan mengambil atau memasukkan kucing 6. Desain lipat (Foldable) sehingga mudah disimpan dan hemat tempat 7. Tray bawah plastik yang mudah dilepas untuk memudahkan pembersihan 8. Ventilasi maksimal agar sirkulasi udara tetap baik 9. Sudut kandang dibuat lebih aman dan nyaman untuk hewan peliharaan Spesifikasi Produk: - Brand: Luve by Octagon - Jenis: Kandang Kucing Lipat - Material: Besi berkualitas - Ukuran: Panjang: 76 cm Lebar: 48 cm Tinggi: 63 cm - Fitur: Foldable (bisa dilipat) - Roda: Ya (4 roda) - Tray bawah: Plastik, dapat dilepas - Pintu: Depan dan atas Cocok Digunakan Untuk: - Kucing dewasa - Anak kucing (kitten) - Masa pemulihan setelah operasi - Breeding - Adaptasi kucing baru - Temporary cage di rumah - Pet hotel dan klinik hewan - Isi Paket: 1 x Kandang Kucing Luve Premium 1 x Tray plastik bawah 4 x Roda 1 x Tempat makan/minum (sesuai paket produk, bila tersedia) Cara Perawatan: - Bersihkan tray secara rutin menggunakan air dan sabun ringan. - Lap rangka besi dengan kain lembut agar tetap bersih. - Hindari penggunaan bahan kimia yang bersifat korosif. - Pastikan pengunci pintu selalu terkunci setelah digunakan. Kenapa Harus Memilih Kandang Luve? - Material premium dan lebih kokoh - Praktis dipindahkan berkat roda - Hemat tempat karena bisa dilipat - Mudah dibersihkan - Desain elegan dan modern - Aman dan nyaman untuk kucing Catatan: - Mohon ukur terlebih dahulu ukuran hewan peliharaan sebelum membeli. - Warna produk dapat sedikit berbeda akibat pencahayaan saat proses foto. - Toleransi ukuran ±1–2 cm karena proses pengukuran manual. Central Cat's Official menyediakan produk original dengan kualitas terbaik untuk memenuhi kebutuhan hewan kesayangan Anda. Belanja sekarang dan berikan kenyamanan terbaik untuk si manis di rumah!",550000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/50014163687,https://cf.shopee.co.id/file/id-11134207-81ztc-mqrbyfx5siyz04,"https://cf.shopee.co.id/file/id-11134207-81zto-mqrbyfx4qln316,https://cf.shopee.co.id/file/id-11134207-81ztq-mqrbyfx4s07j12",Luve,Pets > Pet Accessories > Pet Furniture > Cages & Crates
49704104594,Therafeed Hairball Control 2kg Grain Free Dry Food Makanan Kucing Premium,"THERAFEED HAIRBALL CONTROL Therafeed Hairball Control adalah makanan kering (dry food) untuk kucing yang difokuskan khusus membantu mengurangi dan mencegah terbentuknya hairball (gumpalan bulu) di saluran pencernaan kucing. Produk ini umumnya dibuat dengan formula grain-free (bebas biji-bijian) yang lebih mudah dicerna oleh kucing, terutama yang sensitif terhadap gandum atau jagung, serta tinggi protein dan rendah karbohidrat sesuai kebutuhan kucing karnivora. Keunggulan: 1. Kontrol Hairball: Diformulasikan agar rambut yang tertelan ketika kucing merawat tubuhnya dapat dikeluarkan melalui pencernaan dengan lebih mudah, sehingga meminimalkan penumpukan hairball. 2. Grain-Free: Tidak mengandung biji-bijian seperti gandum atau jagung, membantu mengurangi risiko alergi pencernaan pada kucing sensitif. 3. Serat Tinggi: Kandungan serat seperti psyllium peel atau beet pulp membantu merangsang pergerakan usus untuk pengeluaran hairball. 4. Omega 3 & 6 + Biotin & Zinc: Nutrisi ini mendukung kesehatan kulit dan bulu, sehingga rambut kucing lebih kuat dan rontoknya bisa lebih terkendali. 5. Protein Tinggi: Menyediakan kebutuhan protein yang optimal (sekitar 35% atau lebih), baik untuk energi dan kesehatan otot. 6. Juga ditambahkan Fructooligosakarida (FOS) untuk mendukung kesehatan usus / pencernaan Guaranteed Analysis CRUDE PROTEIN Min. 35% CRUDE FAT Min. 18% CRUDE FIBER Max. 3% CRUDE ASH Max. 11% CALCIUM Min. 0,8% PHOSPHORUS Min. 0,6% MOISTURE Max. 10% TAURINE 2.000 mg/kg ZINC 120 mg/kg Ingredients: Chicken meal, Sweet potato powder, Tapioca, Lentil, Chicken oil, Tuna meal, Beet pulp, Brewer's yeast, Flaxseed, Salt, Taurine, Rosemary oil, Psyllium, Blueberry, Beet, Broccoli, Parsley, Banana, Apple, Orange, Mango, Strawberry, DL-methionine, Chelated minerals (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), Cobalt (Co)), Potassium chloride, Vitamin supplements (Vitamin A, Vitamin D, Vitamin E, Vitamin K, Thiamin (B1), Riboflavin (B2), Pyridoxine (B6), Pantothenic acid, Biotin, Folic acid, Niacin, Cyanocobalamin (B12), Ascorbic acid (C)), Choline chloride, Mineral supplements (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1), Cobalt (Co))",277000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/49704104594,https://cf.shopee.co.id/file/id-11134207-8224y-mj2fh3acnbwi46,"https://cf.shopee.co.id/file/id-11134207-8224y-mj2fh3acoqgy8c,https://cf.shopee.co.id/file/id-11134207-8224y-mj2fh3acq51ebe,https://cf.shopee.co.id/file/id-11134207-8224w-mj2fh3acrjlu73,https://cf.shopee.co.id/file/id-11134207-8224s-mj2fh3acsy6a15",Therafeed,Pets > Pet Food > Cat Food
45551961750,Catsrang Adult 2kg Premium Dry Food Makanan Kucing Dewasa,"CATSRANG ADULT PREMIUM DRY FOOD Catsrang Adult adalah makanan kucing premium dari Korea Selatan yang ditujukan untuk kucing usia >12 bulan. Menggunakan bahan-bahan premium, dengan nutrisi yang lengkap dan seimbang untuk kucingmu. Dengan rasa ayam dan tuna yang lezat dan ukuran kibble yang pas! Diperkaya dengan Taurine, Omega 3 & 6, Propolis, Yucca Extract, serta sudah memiliki formula untuk Hairball Control & Urinary Care. Semua produk Catsrang sudah memiliki sertifikasi HACCP, ISO 9001, diformulasikan tanpa kandungan babi, dan bebas dari 9 bahan berbahaya. Keunggulan: 1. Dengan kandungan taurin yang tinggi, pakan ini mendukung kesehatan jantung dan mata pada kucing dewasa. 2. Ekstrak yucca membantu mengurangi bau kotoran kucing, jadi lebih nyaman untuk pemilik dan lingkungan rumah. 3. Propolis membantu menjaga kesehatan mulut, misalnya mencegah gangguan mulut atau bau mulut. 4. Formula hairball control: kandungan serat membantu mengurangi pembentukan bola bulu (hairball) dan membantu keluarnya hairball. 5. Urinary care: pakan ini mendukung kesehatan saluran kemih, kemungkinan dengan menjaga pH urin agar lebih seimbang (atau asam sedikit) 6. Juga ditambahkan Fructooligosakarida (FOS) untuk mendukung kesehatan usus / pencernaan 7. Bebas dari pewarna buatan, perasa buatan, dan pengawet sintetis 8. Sertifikasi kualitas (ISO 9001, HACCP) menunjukkan bahwa produksi dan kontrol kualitas cukup ketat. 9. Tidak mengandung babi Guaranteed Analysis CRUDE PROTEIN Min. 32% CRUDE FAT Min. 14% CRUDE FIBER Max. 3% CRUDE ASH Max. 10% CALCIUM Min. 0,8% PHOSPHORUS Min. 0,6% MOISTURE Max. 10% TAURINE 2.000 mg/kg LYSINE 16.000 mg/kg Ingredients : Chicken meal, Corn, Tuna meal, Chicken oil, Vegetable proteins, Beet pulp, Flaxseed, Brewer's yeast, Salt, L-lysine, DL-methionine, L-threonine, Taurine, Propolis, Fructooligosaccharide, Yucca extract, Chelated minerals (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), Cobalt (Co)), Natural antioxidants (Tocopherol a, b, y, 8, Rosemary oil), Vitamin supplements (Vitamin A, Vitamin D, Vitamin E, Vitamin K, Thiamin (B1), Riboflavin (B2), Pyridoxine (B6), Pantothenic acid (B5), Biotin (B8), Folic acid (89), Niacin (B3), Cyanocobalamin (B12), Ascorbic acid (C)), Choline chloride, Mineral supplements (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1), Cobalt (Co)), Potassium chloride.",240000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/45551961750,https://cf.shopee.co.id/file/id-11134207-8224w-mhd7xdlltxjc07,"https://cf.shopee.co.id/file/id-11134207-8224t-mhd7xdli7aq296,https://cf.shopee.co.id/file/id-11134207-8224o-mhddmsab203xe7,https://cf.shopee.co.id/file/id-11134207-8224r-mhddms93qtqme7,https://cf.shopee.co.id/file/id-11134207-8224z-mhddms9cu42016,https://cf.shopee.co.id/file/id-11134207-82250-mhddms9798ui7c,https://cf.shopee.co.id/file/id-11134207-8224o-mhd7xdlvjoy778,https://cf.shopee.co.id/file/id-11134207-82250-mhd7xdlvmi3309",Catsrang,Pets > Pet Food > Cat Food
45304104999,"Catsrang Smart Balance 1,2kg All Life Stages Dry Food Makanan Kucing Premium","CATSRANG SMART BALANCE ALL LIFE STAGES Apa itu Catsrang Smart Balance? Catsrang Smart Balance adalah makanan kucing kering premium yang dirancang dengan nutrisi lengkap dan seimbang untuk mendukung kebutuhan harian kucing. Produk ini berasal dari lini Catsrang Cat Food yang dibuat di Korea Selatan dan cocok diberikan untuk kucing dari berbagai umur (all life stages). Keunggulan: 1. All Life Stages (semua usia) – Aman dikonsumsi oleh kitten hingga kucing dewasa tanpa perlu ganti jenis pakan. 2. Nutrisi Lengkap & Seimbang – Dirancang memenuhi kebutuhan energi, protein, vitamin, dan mineral untuk kesehatan kucing sehari-hari. 3. Formulasi Premium – Diperkaya dengan taurine, Omega-3 & Omega-6, prebiotik, dan ekstrak Yucca yang mendukung pencernaan, kulit & bulu, serta fungsi tubuh yang optimal. 4. No Pork & Bebas Bahan Berbahaya – Tidak mengandung babi dan beberapa bahan kimia berbahaya, sehingga lebih aman untuk konsumsi jangka panjang. 5. Hairball Control & Urinary Support – Formula yang membantu mengurangi terbentuknya hairball sekaligus mendukung kesehatan saluran kemih. 6. Sertifikasi Internasional – Produk Catsrang memiliki sertifikasi ISO 9001 dan HACCP, menunjukkan standar kualitas dan keamanan tinggi pada proses produksi. 7. Juga ditambahkan Fructooligosakarida (FOS) untuk mendukung kesehatan usus / pencernaan Guaranteed Analysis: CRUDE PROTEIN Min. 30% CRUDE FAT Min. 10% CRUDE FIBER Max. 3,5% CRUDE ASH Max. 12% CALCIUM Min. 0,8% PHOSPHORUS Min. 0,6% MOISTURE Max. 10% TAURINE 2.000 mg/kg LYSINE 14.000 mg/kg Ingredients: Chicken meal, Vegetable proteins, Corn, Tuna meal, Chicken oil, Beet pulp, Flaxseed, Brewer's yeast, Salt, L-lysine, DL-methionine, L-threonine, Taurine, Yucca extract, Mannanoligosaccharide (MOS), Fructooligosaccharide (FOS), Natural antioxidants (Tocopherol a, B, Y, 8, Rosemary oil), Vitamin supplements (Vitamin A, Vitamin D, Vitamin E, Vitamin K1, Thiamin (B1), Riboflavin (B2), Pyridoxine (B6), Pantothenic acid (B5), Biotin (B8), Folic acid (B9), Niacin (B3), Cyanocobalamin (B12), Ascorbic acid (C)), Choline Chloride, Chelated minerals (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1)), Mineral supplements (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1), Cobalt (Co)), Potassium chloride",95000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/45304104999,https://cf.shopee.co.id/file/id-11134207-8224u-mj2i1n3h58n99f,"https://cf.shopee.co.id/file/id-11134207-8224z-mj2fh3acucqq68,https://cf.shopee.co.id/file/id-11134207-8224o-mj2i1n3m3mro64,https://cf.shopee.co.id/file/id-11134207-8224y-mj2i1n3hni0yb8,https://cf.shopee.co.id/file/id-11134207-8224z-mj2i1n3howle1f",Catsrang,Pets > Pet Food > Cat Food
45051971970,Catsrang All Life Stages 3kg Premium Dry Food Makanan Kucing Adult dan Kitten,"CATSRANG ALL LIFE STAGES PREMIUM DRY FOOD Catsrang All Stages adalah makanan kucing premium dari Korea Selatan yang ditujukan untuk kucing semua usia. Menggunakan bahan-bahan premium, dengan nutrisi yang lengkap dan seimbang untuk kucingmu. Dengan rasa ayam dan tuna yang lezat dan ukuran kibble yang pas! Diperkaya dengan Taurine, Omega 3 &6, Propolis, Yucca Extract, serta sudah memiliki formula untuk Hairball Control & Urinary Care. Semua produk Catsrang sudah memiliki sertifikasi HACCP, ISO 9001, diformulasikan tanpa kandungan babi, dan bebas dari 9 bahan berbahaya. Keunggulan: 1. Dengan kandungan taurin yang tinggi, pakan ini mendukung kesehatan jantung dan mata 2. Ekstrak yucca membantu mengurangi bau kotoran kucing, jadi lebih nyaman untuk pemilik dan lingkungan rumah. 3. Propolis membantu menjaga kesehatan mulut, misalnya mencegah gangguan mulut atau bau mulut. 4. Formula hairball control: kandungan serat membantu mengurangi pembentukan bola bulu (hairball) dan membantu keluarnya hairball. 5. Urinary care: pakan ini mendukung kesehatan saluran kemih, kemungkinan dengan menjaga pH urin agar lebih seimbang (atau asam sedikit) 6. Juga ditambahkan Fructooligosakarida (FOS) untuk mendukung kesehatan usus / pencernaan 7. Bebas dari pewarna buatan, perasa buatan, dan pengawet sintetis 8. Sertifikasi kualitas (ISO 9001, HACCP) menunjukkan bahwa produksi dan kontrol kualitas cukup ketat. 9. Tidak mengandung babi 10. Karena “All Life Stages”, kamu bisa memberi pakan ini untuk berbagai umur kucing (kitten maupun dewasa) tanpa harus ganti jenis pakan. Guaranteed Analysis CRUDE PROTEIN Min. 31% CRUDE FAT Min. 11% CRUDE FIBER Max. 3,5% CRUDE ASH Max. 12% CALCIUM Min. 0,8% PHOSPHORUS Min. 0,6% MOISTURE Max. 10% TAURINE 2.000 mg/kg LYSINE 18.000 mg/kg Ingredients: Chicken meal, Vegetable proteins, Corn, Tuna meal, Chicken oil, Beet pulp, Flaxseed, Brewer's yeast, Salt, L-lysine, DL-methionine, L-threonine, Taurine, Yucca extract, Mannanoligosaccharide (MOS), Fructooligosaccharide (FOS), Natural antioxidants (Tocopherol a, B, Y, 8, Rosemary oil), Vitamin supplements (Vitamin A, Vitamin D, Vitamin E, Vitamin K1, Thiamin (B1), Riboflavin (B2), Pyridoxine (B6), Pantothenic acid (B5), Biotin (B8), Folic acid (B9), Niacin (B3), Cyanocobalamin (B12), Ascorbic acid (C)), Choline Chloride, Chelated minerals (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1)), Mineral supplements (Iron (Fe), Copper (Cu), Zinc (Zn), Selenium (Se), Manganese (Mn), lodine (1), Cobalt (Co)), Potassium chloride.",277000.00 IDR,in stock,new,https://shopee.co.id/product/262714770/45051971970,https://cf.shopee.co.id/file/id-11134207-8224t-mhdauajb5bf003,"https://cf.shopee.co.id/file/id-11134207-8224p-mhdauajhfguh3a,https://cf.shopee.co.id/file/id-11134207-8224p-mhdauajifzm613,https://cf.shopee.co.id/file/id-11134207-8224z-mhdauajid6hacb,https://cf.shopee.co.id/file/id-11134207-82252-mhdauajihe6m72,https://cf.shopee.co.id/file/id-11134207-8224u-mhdauajillvyfa,https://cf.shopee.co.id/file/id-11134207-82250-mhdauajin0ge3e,https://cf.shopee.co.id/file/id-11134207-8224o-mhdauajiadce26,https://cf.shopee.co.id/file/id-11134207-8224t-mhdauajibrwuf3",Catsrang,Pets > Pet Food > Cat Food
43408356386,Biolite Adult Tuna Premium Cat Food Dry Food Makanan Kucing Dewasa,"BIOLITE ADULT TUNA PREMIUM CAT FOOD Apa itu Biolite Adult Tuna? Biolite Adult Tuna adalah varian makanan kering premium dari Biolite yang diformulasikan khusus untuk kucing dewasa. Berfokus pada protein dari tuna, makanan ini ditujukan untuk mendukung kesehatan saluran kemih, pencernaan, kulit & bulu, serta imunitas tubuh. Biolite Adult Tuna menyediakan rangkaian nutrisi lengkap dan 5 manfaat kesehatan: 1. Supports Immunity System – diperkaya vitamin & mineral 2. Healthy Vision - Penglihatan yang Sehat 3. Strong Bones – Tulang yang Kuat 4. Healthy Skin & Coat – Kulit dan Bulu yang Sehat dan Berkilau 5. Omega 3, Omega 6, and Zinc Kandungan Nutrisi: CRUDE PROTEIN ≥ 30% CRUDE FAT ≥ 10% CRUDE ASH ≤ 10% CRUDE FIBER ≤ 5 % CALCIUM ≥ 1% MOISTURE ≤ 10% PHOSPHORUS ≥ 0,8% TAURINE ≥ 0,1% SOLUBLE CHLORIDE ≥ 0,3% PORK FREE COMPOSITION: Raw Material Composition: Tuna 35%, Egg White 15%, Cor, wheat, Soybean, Rice, Maize, Cranberry Extract, Yucca Schidicgera, ETC. Additive Composition: Vitamin A (Acetate), Vitamin D3, Vitamin E (DL-A-Tocopherol Acetate), Taurine, Vitamin B1 (Thiamine Nitrate), Vitamin B2 (Riboflavin), Vitamin K3 (Sodium Bisulfite), Vitamin B6 (Pridoxine Hydrochloride), Vitamin B12 (Cyancobalamin), Copper (Copper Sulfate, Pentahydrate) 3,0mg, Zinc (Zinc Sulfate, Solvic Acid, Iron Sulfate) 40,0mg, Manganese (Manganous Sulfate, Monohydrate) 15,0mg, Lodine (Calcium Pantothenate, Carbonate, Hydrogen) 1,0mg, Selenium (Sodium Selenite, Chloride) 0,2mg.",137088.00 IDR,in stock,new,https://shopee.co.id/product/262714770/43408356386,https://cf.shopee.co.id/file/id-11134207-7ra0o-mc4olapx0jxeda,"https://cf.shopee.co.id/file/id-11134207-7ra0i-mc4olapwz5cy89,https://cf.shopee.co.id/file/id-11134207-7ra0j-mc4olapx1yhuac,https://cf.shopee.co.id/file/id-11134207-7ra0u-mcd6kzvwb1s53f",Biolite,Pets > Pet Food > Cat Food
43277850243,Profender Spot-On Medium Cat Obat Cacing Kucing Tetes Original Elanco,"PROFENDER SPOT-ON MEDIUM *Original Product by ELANCO PROFENDER® Spot-On Medium adalah obat cacing topikal untuk kucing yang efektif dan mudah digunakan. Produk ini diformulasikan khusus untuk membantu mengobati dan mengendalikan infeksi cacing pada kucing tanpa perlu pemberian obat dalam bentuk pil, sehingga mengurangi stres pada kucing maupun pemiliknya. PROFENDER® Spot-On Medium bekerja dengan cara diaplikasikan langsung ke kulit kucing. Bahan aktifnya akan diserap melalui kulit dan bekerja di saluran pencernaan untuk membunuh serta menghilangkan berbagai jenis cacing internal, termasuk cacing pita, cacing gelang, dan cacing tambang. Produk ini cocok digunakan untuk kucing dengan berat badan >2,5kg - 5kg. Cukup dengan satu kali aplikasi topikal, PROFENDER® memberikan perlindungan yang efektif dan praktis. Keunggulan PROFENDER® Spot-On Medium: 1. Mengobati cacing pita, cacing gelang, dan cacing tambang 2. Aplikasi topikal, mudah dan praktis 3. Tidak perlu obat oral/pil 4. Mengurangi stres pada kucing Bahan aktif: Emodepside, Praziquantel Digunakan sesuai rekomendasi dokter hewan",124082.00 IDR,in stock,new,https://shopee.co.id/product/262714770/43277850243,https://cf.shopee.co.id/file/id-11134207-8224v-mj6hs747exhcf7,"https://cf.shopee.co.id/file/id-11134207-8224s-mj6hs743igp115,https://cf.shopee.co.id/file/id-11134207-8224y-mj6hs72p0ttx9f,https://cf.shopee.co.id/file/id-11134207-8224p-mj6hs747gc1s17,https://cf.shopee.co.id/file/id-11134207-82250-mj6hs731gwzrcd,https://cf.shopee.co.id/file/id-11134207-8224y-mj6hs747diww02",Profender,Pets > Pet Healthcare > Medication
